"rental_id","customer_id","month","email","customer_fullname","customer_rank"
29,44,"5","marie.turner@sakilacustomer.org","Marie Turner","1"
932,198,"5","elsie.kelley@sakilacustomer.org","Elsie Kelley","1"
99,44,"5","marie.turner@sakilacustomer.org","Marie Turner","1"
582,198,"5","elsie.kelley@sakilacustomer.org","Elsie Kelley","1"
357,198,"5","elsie.kelley@sakilacustomer.org","Elsie Kelley","1"
639,198,"5","elsie.kelley@sakilacustomer.org","Elsie Kelley","1"
721,44,"5","marie.turner@sakilacustomer.org","Marie Turner","1"
407,44,"5","marie.turner@sakilacustomer.org","Marie Turner","1"
750,269,"5","cassandra.walters@sakilacustomer.org","Cassandra Walters","9"
98,269,"5","cassandra.walters@sakilacustomer.org","Cassandra Walters","9"
7,269,"5","cassandra.walters@sakilacustomer.org","Cassandra Walters","9"
142,472,"5","greg.robins@sakilacustomer.org","Greg Robins","9"
889,114,"5","grace.ellis@sakilacustomer.org","Grace Ellis","9"
154,185,"5","roberta.harper@sakilacustomer.org","Roberta Harper","9"
20,185,"5","roberta.harper@sakilacustomer.org","Roberta Harper","9"
474,274,"5","naomi.jennings@sakilacustomer.org","Naomi Jennings","9"
208,274,"5","naomi.jennings@sakilacustomer.org","Naomi Jennings","9"
147,274,"5","naomi.jennings@sakilacustomer.org","Naomi Jennings","9"
727,484,"5","roberto.vu@sakilacustomer.org","Roberto Vu","9"
668,484,"5","roberto.vu@sakilacustomer.org","Roberto Vu","9"
35,484,"5","roberto.vu@sakilacustomer.org","Roberto Vu","9"
255,114,"5","grace.ellis@sakilacustomer.org","Grace Ellis","9"
205,114,"5","grace.ellis@sakilacustomer.org","Grace Ellis","9"
781,313,"5","donald.mahon@sakilacustomer.org","Donald Mahon","9"
612,161,"5","geraldine.perkins@sakilacustomer.org","Geraldine Perkins","9"
712,313,"5","donald.mahon@sakilacustomer.org","Donald Mahon","9"
215,197,"5","sue.peters@sakilacustomer.org","Sue Peters","9"
539,161,"5","geraldine.perkins@sakilacustomer.org","Geraldine Perkins","9"
454,575,"5","isaac.oglesby@sakilacustomer.org","Isaac Oglesby","9"
395,575,"5","isaac.oglesby@sakilacustomer.org","Isaac Oglesby","9"
