"customer_id","customer_fullname","email","activebool","payment_date","latest_purchase"
94,"Norma Gonzales","norma.gonzales@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","1"
264,"Gwendolyn May","gwendolyn.may@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","2"
263,"Hilda Hopkins","hilda.hopkins@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","3"
252,"Mattie Hoffman","mattie.hoffman@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","4"
251,"Vickie Brewer","vickie.brewer@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","5"
245,"Courtney Day","courtney.day@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","6"
244,"Viola Hanson","viola.hanson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","7"
236,"Marcia Dean","marcia.dean@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","8"
234,"Claudia Fuller","claudia.fuller@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","9"
229,"Tamara Nguyen","tamara.nguyen@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","10"
228,"Allison Stanley","allison.stanley@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","11"
228,"Allison Stanley","allison.stanley@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","12"
227,"Colleen Burton","colleen.burton@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","13"
219,"Willie Howell","willie.howell@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","14"
216,"Natalie Meyer","natalie.meyer@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","15"
216,"Natalie Meyer","natalie.meyer@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","16"
215,"Jessie Banks","jessie.banks@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","17"
214,"Kristin Johnston","kristin.johnston@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","18"
213,"Gina Williamson","gina.williamson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","19"
211,"Stacey Montgomery","stacey.montgomery@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","20"
208,"Lucy Wheeler","lucy.wheeler@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","21"
208,"Lucy Wheeler","lucy.wheeler@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","22"
200,"Jeanne Lawson","jeanne.lawson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","23"
199,"Beth Franklin","beth.franklin@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","24"
193,"Katie Elliott","katie.elliott@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","25"
192,"Laurie Lawrence","laurie.lawrence@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","26"
191,"Jeanette Greene","jeanette.greene@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","27"
190,"Yolanda Weaver","yolanda.weaver@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","28"
188,"Melanie Armstrong","melanie.armstrong@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","29"
186,"Holly Fox","holly.fox@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","30"
181,"Ana Bradley","ana.bradley@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","31"
180,"Stacy Cunningham","stacy.cunningham@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","32"
178,"Marion Snyder","marion.snyder@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","33"
175,"Annette Olson","annette.olson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","34"
175,"Annette Olson","annette.olson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","35"
168,"Regina Berry","regina.berry@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","36"
